1	10106	247	1	30	46170	46030	15
2	10106	247	1	32	46340	46190	16
3	10106	257	1	1	53230	52960	28
4	10106	258	1	30	13660	13490	18
5	10106	258	1	6	25770	25610	17
6	10106	258	1	45	52910	52770	15
7	10106	258	1	48	53290	53090	21
8	10106	258	1	52	53670	53410	27
9	10106	258	1	54	54260	54010	26
10	10106	258	1	55	54440	54320	13
11	10106	258	1	56	54770	54600	18
12	10106	258	1	3	55250	55130	13
13	10106	258	1	1	55500	55400	11
14	10106	258	1	9	56100	55700	34
15	10106	258	1	11	56340	56150	20
16	10106	258	1	13	56580	56360	23
17	10106	258	1	38	65450	65370	9
18	10106	266	1	39	580	430	16
19	10106	274	1	21	16580	16400	19
20	10106	276	1	4	20320	19890	44
