10106,2416703679,2,0,1903110010,0,422977999,-837281806,2160,0xFFFFFFFF,7,286,18288,127,-79,2001,51,219,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2417421273,2,0,1903110010,0,422977999,-837281806,2160,0xFFFFFFFF,7,286,18288,127,-79,2001,51,219,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2283402911,2,0,1767384954,100,422959798,-837309194,2107,0xFFFFFFFF,7,199,4005,127,-137,2001,50,57,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1651217679,2,0,537470842,200,422967844,-837297426,2240,0xFFFFFFFF,7,169,3976,127,72,2001,51,-4,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2137284572,2,0,604645242,400,422943186,-837335599,2057,0xFFFFFFFF,7,310,3904,127,-24,2001,52,-9,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1522671025,2,0,2144872314,400,422951193,-837325083,2063,0xFFFFFFFF,7,345,18305,127,-1,2001,47,-52,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1246698744,2,0,1959012218,500,422546999,-836845452,2061,0xFFFFFFFF,7,310,8319,127,-91,2001,48,-60,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1248748337,2,0,1322329978,1100,422982475,-837220714,2318,0xFFFFFFFF,7,226,23915,127,22,2001,48,443,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1248943427,2,0,1322329978,1100,422982475,-837220714,2318,0xFFFFFFFF,7,226,23915,127,22,2001,48,443,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1472400512,2,0,1786587002,1300,422981265,-837220397,2348,0xFFFFFFFF,7,0,9453,127,0,2001,50,0,0x0F,0,0x00,0x00,0x00,0x00,0x00
10106,1472595205,2,0,1786587002,1300,422981265,-837220397,2348,0xFFFFFFFF,7,0,9453,127,0,2001,50,0,0x0F,0,0x00,0x00,0x00,0x00,0x00
10106,2632981815,2,0,1942759290,2200,422992302,-837260256,2161,0xFFFFFFFF,7,386,4892,127,9,2001,52,560,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2635430980,2,0,1942759290,2200,422992302,-837260256,2161,0xFFFFFFFF,7,386,4892,127,9,2001,52,560,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2371646797,2,0,508045178,2300,422979249,-837201618,2360,0xFFFFFFFF,7,113,6376,127,56,2001,51,-357,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1245375307,2,0,683550586,3200,423055383,-836912152,2420,0xFFFFFFFF,7,207,19951,127,-67,2001,49,1,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1247162834,2,0,683550586,3200,423055383,-836912152,2420,0xFFFFFFFF,7,207,19951,127,-67,2001,49,1,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2229963115,2,0,297281402,3300,422983291,-837275232,2165,0xFFFFFFFF,7,476,17950,127,65,2001,49,-30,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1677467956,2,0,1561274234,3400,423045015,-836945812,2416,0xFFFFFFFF,7,146,5603,127,-38,2001,49,26,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,1677872388,2,0,1561274234,3400,423045015,-836945812,2416,0xFFFFFFFF,7,146,5603,127,-38,2001,49,26,0x00,0,0x00,0x00,0x00,0x00,0x00
10106,2688924670,2,0,1714104186,3500,423043841,-837073681,2406,0xFFFFFFFF,7,157,14133,127,106,2001,50,63,0x00,0,0x00,0x00,0x00,0x00,0x00
