RxDevice,FileId,TxDevice,StartTime,Endtime,Value
23,941196,23,278801694980062,278801695480063,192
24,23278,24,277944407512659,277944409112698,192
26,24259,26,277321682396884,277321682896867,192
27,24547,27,277927197593602,277927199693637,192
1117,190947,-2501,278734166140214,278734466016573,0
1121,16692,-26022,276352776119975,276353076019683,0
1121,16701,27577,276542976147678,276543276063308,0
1122,17180,9317,276442776181956,276443076082508,0
1123,3334,-9405,276345276190741,276345576091183,0
1123,3337,19236,276396276160075,276396576060697,0
1123,3351,22378,276641376151269,276641676051255,0
1123,3353,8816,276667476191679,276667776092072,0
1123,3353,29948,276666876191593,276667176091857,0
1123,193656,1229,276302376117030,276302676033039,0
1127,194291,-9681,276241476160264,276241776060440,0
1128,17513,-18420,276462576171083,276462876090536,0
1128,17513,-10047,276464976140637,276465276072572,0
1128,17517,24780,276638076105560,276638376038216,0
1128,17537,2516,277317876180932,277318176081460,0
