TJ_Tag,ID,Device_1,Trip_1,Device_2,Trip_2,StartTime_1,EndTime_1,StartTime_2,EndTime_2
2784,4949373,10138,3371,10136,3443,173930,177530,21390,24990
2785,4949571,10138,3373,501,679,8590,17690,13500,22600
2786,4951919,10138,3389,502,769,62970,67570,23410,28010
2787,4952410,10138,3389,10135,1006,143590,143890,28420,28720
2788,4958697,10138,3429,10129,5077,70690,70890,300450,300650
2789,4978097,10139,17,10138,2003,181630,182230,342700,343300
2790,4978370,10139,19,10137,4328,40910,41510,60870,61470
2791,4984166,10139,77,10125,2173,49340,49740,31690,32090
2792,4984170,10139,77,10125,2157,48720,49120,32190,32590
2793,5005863,10139,309,10115,190,72120,72320,64830,65030
2794,5009520,10139,351,10137,3753,40710,41010,60070,60370
2795,5010787,10139,368,10129,2296,131680,143780,150340,162440
2796,5013146,10139,392,502,137,70660,73460,82820,85620
2797,5013146,10139,392,502,137,74160,74760,86320,86920
2798,5013146,10139,392,502,137,77360,79760,89520,91920
2799,5013835,10139,400,552,827,41350,42450,19580,20680
2800,5026063,10139,467,10137,1211,62650,64750,5010,7110
2801,5026063,10139,467,10137,1211,65250,65750,7610,8110
2802,5026069,10139,467,10137,2782,151060,151860,143410,144210
2803,5027220,10139,471,10122,966,66390,69590,5110,8310
2804,5027226,10139,471,10122,371,65910,66110,20420,20620
2805,5030861,10139,492,10137,4336,81240,81340,72600,72700
2806,5030909,10139,493,10121,1269,15520,15920,33540,33940
2807,5030936,10139,493,10132,7267,14520,15020,45840,46340
2808,5033769,10139,508,10137,1525,54760,54960,37500,37700
2809,5039962,10139,540,10133,718,88620,88820,52310,52510
2810,5040912,10139,546,10004,106,64030,65330,14700,16000
2811,5040977,10139,546,10122,342,67580,70680,4020,7120
2812,5043080,10139,561,10125,3187,193930,194430,33430,33930
2813,5047605,10139,591,10137,4019,34010,34210,58380,58580
2814,5057934,10139,645,10137,3877,83200,85100,88320,90220
2815,5057934,10139,645,10137,3877,86400,87100,91520,92220
2816,5058247,10139,648,10122,151,299310,299510,57520,57720
2817,5058428,10139,649,10129,1040,399470,410670,25380,36580
2818,5058507,10139,649,10137,354,411810,413610,68040,69840
2819,5058507,10139,649,10137,354,416510,418310,72740,74540
2820,5058512,10139,649,10137,426,396070,396970,65620,66520
2821,5058512,10139,649,10137,426,414570,415170,84120,84720
2822,5074283,10139,751,10132,3919,110010,110510,29890,30390
2823,5075926,10139,758,10135,1564,55390,56590,55520,56720
2824,5075926,10139,758,10135,1564,60690,63990,60820,64120
2825,5079673,10139,779,10130,889,99610,107710,126500,134600
2826,5079798,10139,779,10137,5995,93450,93650,75290,75490
2827,5080513,10139,782,10135,1680,42500,46100,3500,7100
