1026417501,197,126,0x00,2013-03-31 20:47:15.400
1026417506,198,126,0x00,2013-03-31 20:47:15.500
1026417509,199,126,0x00,2013-03-31 20:47:15.600
1026417513,200,126,0x00,2013-03-31 20:47:15.700
1026417517,201,126,0x00,2013-03-31 20:47:15.800
1026417984,53,126,0x00,2013-03-31 20:47:26.600
1026417988,54,126,0x00,2013-03-31 20:47:26.700
1026417992,55,126,0x00,2013-03-31 20:47:26.800
1026417996,56,126,0x00,2013-03-31 20:47:26.900
1026418000,57,126,0x00,2013-03-31 20:47:27.000
1026418004,58,126,0x00,2013-03-31 20:47:27.100
1026418008,59,126,0x00,2013-03-31 20:47:27.200
1026418016,60,126,0x00,2013-03-31 20:47:27.300
1026418020,61,126,0x00,2013-03-31 20:47:27.400
1026418024,62,126,0x00,2013-03-31 20:47:27.500
1026418028,63,126,0x00,2013-03-31 20:47:27.600
1026418030,64,126,0x00,2013-03-31 20:47:27.700
1026418034,65,126,0x00,2013-03-31 20:47:27.800
1026418038,66,126,0x00,2013-03-31 20:47:27.900
1026418042,67,126,0x00,2013-03-31 20:47:28.000
