RxDevice,FileId,TxDevice,StartTime,Endtime,Value
291,24812,9167,276266376154934,276266676055141,255
291,24814,-2917,276297276172696,276297576073022,255
291,24817,1042,276387276146401,276387576062486,255
291,24824,-19432,276465876186768,276466176086601,255
291,24825,8884,276524076117184,276524376016804,255
291,24832,12747,276712476154539,276712776054431,255
291,24836,-9578,276786276154240,276786576054094,255
291,24837,25149,276807576180806,276807876097228,255
291,24840,-9437,276871176143341,276871476076359,255
291,24841,30740,276902376173424,276902676073996,255
291,24842,9882,276905076189763,276905376089894,255
291,24845,4244,276991776165653,276992076065658,255
291,24846,25884,277046076112879,277046376011948,255
291,24848,-16427,277077576115421,277077876031133,255
291,24849,25704,277087776120136,277088076019619,255
291,24850,21651,277105776156255,277106076056089,255
291,24851,29929,277128876140941,277129176056224,255
291,24854,-1322,277300776152599,277301076052613,255
291,24855,22360,277322976141651,277323276041700,255
