RxDevice,FileId,TxDevice,StartTime,Endtime,Value
2497,285265,16005,276213266040071,276213565916515,255
2497,285282,-22595,277757366061412,277757665937992,255
1128,17498,-7296,276207876150460,276208176066094,255
1128,17499,-6752,276263676145342,276263976045281,255
1128,17502,14440,276295776119572,276296076019265,255
1128,17525,-29487,276781176200295,276781476099965,255
1128,17527,2173,276869076138072,276869376038039,255
1128,17537,23620,277317576181325,277317876080913,255
1128,17538,4125,277326576181174,277326876081092,255
1128,17538,9555,277327776181116,277328076081348,255
1128,17547,-11806,277644876157987,277645176057968,255
1128,17572,9361,278163876172905,278164176072933,255
1133,52483,-11985,277994976114103,277995276030591,255
1133,52487,25995,278167176128026,278167476045818,255
1138,5089,-22190,276260976136843,276261276088709,255
1138,5106,-12948,276464676136579,276464976035894,255
1138,5106,20392,276464376105051,276464676036553,255
1138,5109,-32538,276521976173194,276522276088941,255
1138,195572,28486,276435276153475,276435576053201,255
