MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
1981619511,1747029053,0x01,95,771,NULL,0,0,0,NULL
1981619556,1747029053,0x01,191,771,NULL,0,0,0,NULL
1981619562,1747029132,0x01,26,526,0x02,36,0,0,NULL
1981619608,1747029123,0x04,88,764,NULL,0,0,0,NULL
1981619639,1747029132,0x04,87,763,NULL,0,0,0,NULL
1981619666,1747029123,0x04,184,764,NULL,0,0,0,NULL
1981619693,1747029165,0x01,0,450,0x02,36,0,0,NULL
1981619695,1747029132,0x04,183,763,NULL,0,0,0,NULL
1981619707,1747029123,0x40,184,1100,NULL,0,0,0,NULL
1981619724,1747029132,0x40,183,1099,NULL,0,0,0,NULL
1981619750,1747029165,0x04,61,1008,NULL,0,0,0,NULL
1981619765,1747029123,0x40,88,588,NULL,0,0,0,NULL
1981619782,1747029165,0x04,61,722,NULL,0,0,0,NULL
1981619793,1747029132,0x40,87,587,NULL,0,0,0,NULL
1981619799,1747029165,0x40,61,1201,NULL,0,0,0,NULL
1981619829,1747029165,0x40,61,511,NULL,0,0,0,NULL
1981619837,1747029132,0x01,183,1201,NULL,0,0,0,NULL
1981619839,1747029123,0x01,184,1201,NULL,0,0,0,NULL
1981619856,1747029192,0x01,0,450,0x02,36,0,0,NULL
