RxDevice,FileId,TxDevice,Gentime,CertId,TxRandom,FrameOffset,FrameSize,BsmPIRelOffset,BsmPIIRelOffset,BsmPIIIRelOffset,GenTimeRelOffset,PsIdByte
10147,226,10147,292805410096029,-6628880357166859990,15979,844038,301,70,110,110,227,32
10147,226,10147,292805410196021,-6628880357166859990,15979,844359,301,70,110,110,227,32
10147,226,10147,292805410296217,-6628880357166859990,15979,844680,301,70,110,110,227,32
10147,226,10147,292805410396038,7859893938741159134,15979,845001,372,141,181,181,298,32
10147,226,10147,292805410496051,-6628880357166859990,15979,845393,301,70,110,110,227,32
10147,226,10147,292805410596049,-6628880357166859990,15979,845714,301,70,110,110,227,32
10147,226,10147,292805410696000,-6628880357166859990,15979,846035,301,70,110,110,227,32
10147,226,10147,292805410796067,-6628880357166859990,15979,846356,301,70,110,110,227,32
10147,226,10147,292805410896048,7859893938741159134,15979,846677,372,141,181,181,298,32
10147,226,10147,292805410995999,-6628880357166859990,15979,847069,301,70,110,110,227,32
10147,226,10147,292805411096048,-6628880357166859990,15979,847390,301,70,110,110,227,32
10147,226,10147,292805411196068,-6628880357166859990,15979,847711,301,70,110,110,227,32
10147,226,10147,292805411296023,-6628880357166859990,15979,848032,301,70,110,110,227,32
10147,226,10147,292805411396000,7859893938741159134,15979,848353,372,141,181,181,298,32
10147,226,10147,292805411496049,-6628880357166859990,15979,848745,301,70,110,110,227,32
10147,226,10147,292805411596026,-6628880357166859990,15979,849066,301,70,110,110,227,32
10147,226,10147,292805411696017,-6628880357166859990,15979,849387,301,70,110,110,227,32
10147,226,10147,292805411796001,-6628880357166859990,15979,849708,301,70,110,110,227,32
10147,226,10147,292805411896066,7859893938741159134,15979,850029,372,141,181,181,298,32
