Device,Trip,Time,LaneDistanceLeft,LaneDistanceRight,LaneHeading,LaneQualityRight,LaneQualityLeft
10136,537,43580,-1.875,1.875,-1.024,0,0
10136,537,43590,-1.875,1.875,-1.024,0,0
10136,537,43600,-1.875,1.875,-1.024,0,0
10136,537,43610,-1.875,1.875,-1.024,0,0
10136,537,43620,-1.875,1.875,-1.024,0,0
10136,537,43630,-1.875,1.875,-1.024,0,0
10136,537,43640,-1.875,1.875,-1.024,0,0
10136,537,43650,-1.875,1.875,-1.024,0,0
10136,537,43660,-1.875,1.875,-1.024,0,0
10136,537,43670,-1.875,1.875,-1.024,0,0
10136,537,43680,-1.875,1.875,-1.024,0,0
10136,537,43690,-1.875,1.875,-1.024,0,0
10136,537,43700,-1.875,1.875,-1.024,0,0
10136,537,43710,-1.875,1.875,-1.024,0,0
10136,537,43720,-1.875,1.875,-1.024,0,0
10136,537,43730,-1.875,1.875,-1.024,0,0
10136,537,43740,-1.875,1.875,-1.024,0,0
10136,537,43750,-1.875,1.875,-1.024,0,0
10136,537,43760,-1.875,1.875,-1.024,0,0
