RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
3114,1509222,3114,292767000516380,992,102,34400,42.20888,-83.67963,219.8,0.02,178.15,0,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767000616173,992,103,34500,42.20888,-83.67963,219.8,0.02,178.15,0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767000716162,992,104,34600,42.20888,-83.67963,219.8,0.02,178.15,0,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767000816169,992,105,34700,42.20888,-83.67963,219.8,0,178.15,-0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767000916161,992,106,34800,42.20888,-83.67963,219.8,0,178.15,-0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767001016148,992,107,34900,42.20888,-83.67963,219.8,0.02,178.15,0,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767001116154,992,108,35000,42.20888,-83.67963,219.8,0,178.15,-0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767001216155,992,109,35100,42.20888,-83.67963,219.8,0,178.15,-0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767001316403,992,110,35200,42.20888,-83.67963,219.8,0,178.15,0,20.01,0,0,3,3276.7,0
3114,1509222,3114,292767001416408,992,111,35300,42.20888,-83.67963,219.8,0,178.15,-0.01,20.01,0,0,3,3276.7,0
3114,1509222,3114,292766576116504,8535,56,30000,42.23822,-83.69967,212.8,0.02,268.375,0,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576216139,8535,57,30100,42.23822,-83.69967,212.8,0,268.375,-0.03,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576316425,8535,58,30200,42.23822,-83.69967,212.8,0.02,268.375,0,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576416409,8535,59,30300,42.23822,-83.69967,212.8,0.02,268.375,0,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576516468,8535,60,30400,42.23822,-83.69967,212.8,0,268.375,-0.02,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576616483,8535,61,30500,42.23822,-83.69967,212.8,0.04,268.375,0.01,20.01,0,0,5,3276.7,0
3114,1509222,3114,292766576716435,8535,62,30600,42.23822,-83.69967,212.8,0.02,268.375,0,20.01,-0.02,0,5,3276.7,0
3114,1509222,3114,292766576816489,8535,63,30700,42.23822,-83.69967,212.8,0.02,268.375,0,20.01,-0.02,0,5,3276.7,0
3114,1509222,3114,292766576916451,8535,64,30800,42.23822,-83.69967,212.8,0.02,268.375,-0.01,20.01,0,0,5,3276.7,0
