RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
2444,1253966,2444,292765381219007,-16973,39,35100,42.18941,-83.74551,224.3,0,133.5375,-0.05,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765381319201,-16973,40,35200,42.18941,-83.74551,224.3,0,133.5375,0.01,20.01,0,0.05,18,3276.7,0
2444,1253966,2444,292765381419230,-16973,41,35300,42.18941,-83.74551,224.3,0,133.5375,0,20.01,0,0.07,18,3276.7,0
2444,1253966,2444,292765381518976,-16973,42,35400,42.18941,-83.74551,224.3,0,133.5375,0,20.01,0,0.06,18,3276.7,0
2444,1253966,2444,292765381619226,-16973,43,35500,42.18941,-83.74551,224.3,0,133.5375,0.01,20.01,0,0.05,18,3276.7,0
2444,1253966,2444,292765381719227,-16973,44,35600,42.18941,-83.74551,224.3,0,133.5375,-0.01,20.01,0,0.03,18,3276.7,0
2444,1253966,2444,292765381819231,-16973,45,35700,42.18941,-83.74551,224.3,0,133.5375,-0.02,20.01,0,0.01,18,3276.7,0
2444,1253966,2444,292765381919226,-16973,46,35800,42.18941,-83.74551,224.4,0,133.5375,0.02,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382019207,-16973,47,35900,42.18941,-83.74551,224.4,0,133.5375,-0.01,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382119233,-16973,48,36000,42.18941,-83.74551,224.4,0,133.5375,0.02,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382218996,-16973,49,36100,42.18941,-83.74551,224.4,0,133.5375,0.03,20.01,-0.08,0,18,3276.7,0
2444,1253966,2444,292765382319261,-16973,50,36200,42.18941,-83.74551,224.4,0.02,133.5375,0.06,20.01,-0.14,0,18,3276.7,0
2444,1253966,2444,292765382419233,-16973,51,36300,42.18941,-83.74551,224.4,0,133.5375,0,20.01,-0.14,0,18,3276.7,0
2444,1253966,2444,292765382519168,-16973,52,36400,42.18941,-83.74551,224.4,0.02,133.5375,0,20.01,-0.06,0,18,3276.7,0
2444,1253966,2444,292765382618993,-16973,53,36500,42.18941,-83.74551,224.4,0,133.5375,-0.05,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382719272,-16973,54,36600,42.18941,-83.74551,224.4,0,133.5375,-0.02,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382819256,-16973,55,36700,42.18941,-83.74551,224.4,0.04,133.5375,0.16,20.01,0,0,18,3276.7,0
2444,1253966,2444,292765382919004,-16973,56,36800,42.18941,-83.74551,224.4,0.14,133.5375,0.54,20.01,0,254.49,18,3276.7,0
2444,1253966,2444,292765383019279,-16973,57,36900,42.18941,-83.74551,224.4,0.22,133.5375,0.82,20.01,0,323.84,18,3276.7,0
