TIMID,TIMRegionId
350753790,1
1226540445,5
523545037,4
3047104086,2
1890280348,2
2595746281,5
302767457,3
2787922614,5
579443183,1
1097684088,1
1366758270,3
1511097609,4
1928057740,5
411556572,1
2325461183,5
708835620,1
607514455,1
2264245871,2
2962683660,3
