RxDevice, BSMID, DSRCMsgId, MsgCount, TemporaryId, DSeconds, Latitude, Longitude, Elevation, PositionalAccuracy, TransmissionState, Speed, Heading, SteeringWheelAngle, LongitudinalAcceleration, LateralAcceleration, VerticalAcceleration, YawRate, BrakeAppliedStatus, wheelBrakesUnavailable, TractionControlState, AntilockBrakeStatus, StabilityControlStatus, BrakeBoostApplied, AuxiliaryBrakeStatus
10106,1803114515,2,93,-1546905039,41900,423056472,-836930763,2393,0xFFFFFFFF,7,351,14707,127,-193,-55,28,-404,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA14F820109A34A8348FE2BFFE3900100E6FAD7FF8B2FFD01FDF76C7F2BFFF502EDF59A7F0CCFF10365F368BEFF8FEB03F1F12E7F065FE4047DE9FABF4C0FD10635E6553F643FCB0711CBD83F7D4FC50D66A2078002FC5F81014C
6705,1804667637,2,93,1050090033,43300,422559398,-836840539,2101,0xFFFFFFFF,7,331,14249,127,1,-9,41,-23,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA13F820107A33A8338F56E0019600502C6EDB78024F006051EE896001F7007074EE507C003A00908A2E19D3FD5A00B09CEDCD8BF75900D0B9AD99CBF1E600F0C8AA20780027FFF81017A
6705,1806264839,2,93,1598822961,43700,422552472,-836837317,2214,0xFFFFFFFF,7,71,28701,127,-9,3,42,8,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA117820102A312831001FAFFFBF00000451CCDBFC72FF403F2A20780027FFF81015B
6705,1802431974,2,93,30218801,47100,423055389,-836930918,2386,0xFFFFFFFF,7,1,15809,127,1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF73FF92FF81806FEC03FF4FFF91996FD1D3FD9EFFA1A5EF9C93F818FF61B76F65DBF225FEE1C65F48BBF031FEA1CDEF259FEF5EFE41D6AF01FBEFCBFDD1DF5E8EBFF425FCA1FAEE5467F5A9FC4208A
10106,1803147832,2,93,30218801,47100,423055389,-836930918,2386,0xFFFFFFFF,7,1,15809,127,1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF73FF92FF81806FEC03FF4FFF91996FD1D3FD9EFFA1A5EF9C93F818FF61B76F65DBF225FEE1C65F48BBF031FEA1CDEF259FEF5EFE41D6AF01FBEFCBFDD1DF5E8EBFF425FCA1FAEE5467F5A9FC4208A
6705,1802404988,2,93,-1546905039,54700,423055398,-836930828,2396,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF97FFEC001038EFEC27FFA9003051EFD1F7FDF800405E6F9CB7F87200006FEF65FFF27FFF807EEF48DFF08BFF40866F25C3EFB8FEE08F2F021FF025FE7097EE8EE3F47FFD40B36E548BF603FCE0C12
10106,1803121870,2,93,-1546905039,54700,423055398,-836930828,2396,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF97FFEC001038EFEC27FFA9003051EFD1F7FDF800405E6F9CB7F87200006FEF65FFF27FFF807EEF48DFF08BFF40866F25C3EFB8FEE08F2F021FF025FE7097EE8EE3F47FFD40B36E548BF603FCE0C12
6705,1803065846,2,93,1050090033,56100,422542110,-836839988,2108,0xFFFFFFFF,7,482,14348,127,-36,3,40,23,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA11F820103A31A8318F9EF000B40020239E48C003BD00C07C6DCD58047500D0A1EA20780022E2E810145
6705,1802439532,2,93,30218801,59900,423055385,-836930922,2387,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF63FF8EFF91D06FEBF3FF4AFFA1E96FD1BFFD9AFFB1F5EF9C83F813FF72075F65CBF220FEF2165F48ABF02DFEB21DDF258BEF59FE52269F01EBEFC6FDE22F5E8EAFF421FCB24ADE5453F5A5FC52589
10106,1803154582,2,93,30218801,59900,423055385,-836930922,2387,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF63FF8EFF91D06FEBF3FF4AFFA1E96FD1BFFD9AFFB1F5EF9C83F813FF72075F65CBF220FEF2165F48ABF02DFEB21DDF258BEF59FE52269F01EBEFC6FDE22F5E8EAFF421FCB24ADE5453F5A5FC52589
6705,1802439595,2,94,30218801,0,423055385,-836930922,2387,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF63FF8EFF91D10FEBF3FF4AFFA1EA0FD1BFFD9AFFB1F68F9C83F813FF7207FF65CBF220FEF216FF48ABF02DFEB21E7F258BEF59FE52273F01EBEFC6FDE22FFE8EAFF421FCB24B7E5453F5A5FC52593
10106,1803154636,2,94,30218801,0,423055385,-836930922,2387,0xFFFFFFFF,7,0,15809,127,-1,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF63FF8EFF91D10FEBF3FF4AFFA1EA0FD1BFFD9AFFB1F68F9C83F813FF7207FF65CBF220FEF216FF48ABF02DFEB21E7F258BEF59FE52273F01EBEFC6FDE22FFE8EAFF421FCB24B7E5453F5A5FC52593
6705,1804671311,2,94,1050090033,9000,422529359,-836839624,2116,0xFFFFFFFF,7,61,14338,127,-154,3,43,20,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA11F820103A31A8318ED7B8022000A0743D818805290140CD0D061C05E10150F28A207800245D3810166
6705,1802420159,2,94,30218801,21600,423055377,-836930888,2392,0xFFFFFFFF,7,0,15809,127,-7,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF43FFB0FFE0E10FEBCFFF6DFFF0FA0FD19FFDBC0001068F9C5FF836FFC1180F65A7F243FF41270F488BF04FFF012E8F256BEF7CFEA1374F01C7EFE9FE31400E8E8BF443FD015B8E5433F5C7FCA1694
10106,1803136072,2,94,30218801,21600,423055377,-836930888,2392,0xFFFFFFFF,7,0,15809,127,-7,-1,43,0,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA15782010AA3528350FFF43FFB0FFE0E10FEBCFFF6DFFF0FA0FD19FFDBC0001068F9C5FF836FFC1180F65A7F243FF41270F488BF04FFF012E8F256BEF7CFEA1374F01C7EFE9FE31400E8E8BF443FD015B8E5433F5C7FCA1694
6705,1802453036,2,94,30218801,25600,423052390,-836917266,2396,0xFFFFFFFF,7,220,5558,127,-5,-7,40,-20,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA18191820111A3818B838188021201DDD00101E0025C824460030258025B8291000302BC021D82D03003032001B442FE6005038401110322F00603FC0017433AD006049CFDE1835300090618FD09434E60012710FBD2034A200328A0FA2F032F20042968F6DB02D6B0002A80F36F82778FF82B70F19DC2585FF42BE8EF6BC24B
10106,1803168105,2,94,30218801,25600,423052390,-836917266,2396,0xFFFFFFFF,7,220,5558,127,-5,-7,40,-20,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA18191820111A3818B838188021201DDD00101E0025C824460030258025B8291000302BC021D82D03003032001B442FE6005038401110322F00603FC0017433AD006049CFDE1835300090618FD09434E60012710FBD2034A200328A0FA2F032F20042968F6DB02D6B0002A80F36F82778FF82B70F19DC2585FF42BE8EF6BC24B
6705,1803108266,2,94,-1546905039,29200,423073632,-836927043,2428,0xFFFFFFFF,7,419,13833,127,-13,-17,41,-43,0x00,0,0x00,0x00,0x00,0x00,0x00,170,440,0xB114800100A106800100810100820100830100840104,0xA11F820103A31A8318FABC80348FF40140F716C04CCFEE021CDC9A0065CFE80870A2088002AE17810200B6
