RxDevice,FileId,TxDevice,Gentime,CertId,TxRandom,FrameOffset,FrameSize,BsmPIRelOffset,BsmPIIRelOffset,BsmPIIIRelOffset,GenTimeRelOffset,PsIdByte
7156,1627762,7156,292770924297663,-8943297215695461048,-3852,46008883,292,70,110,110,218,32
7156,1627762,7156,292770924397683,-8943297215695461048,-3852,46009191,292,70,110,110,218,32
7156,1627762,7156,292770924497644,3249018677487639852,-3852,46009499,363,141,181,181,289,32
7156,1627762,7156,292770924597672,-8943297215695461048,-3852,46009878,292,70,110,110,218,32
7156,1627762,7156,292770924697669,-8943297215695461048,-3852,46010186,292,70,110,110,218,32
7156,1627762,7156,292770924797683,-8943297215695461048,-3852,46010494,292,70,110,110,218,32
7156,1627762,7156,292770924897661,-8943297215695461048,-3852,46010802,292,70,110,110,218,32
7156,1627762,7156,292770924997637,3249018677487639852,-3852,46011110,354,141,181,181,280,32
7156,1627762,7156,292770925097631,-8943297215695461048,-3852,46011480,283,70,110,110,209,32
7156,1627762,7156,292770925197671,-8943297215695461048,-3852,46011779,292,70,110,110,218,32
7156,1627762,7156,292770925297658,-8943297215695461048,-3852,46012087,292,70,110,110,218,32
7156,1627762,7156,292770925397645,-8943297215695461048,-3852,46012395,283,70,110,110,209,32
7156,1627762,7156,292770925497632,3249018677487639852,-3852,46012694,354,141,181,181,280,32
7156,1627762,7156,292770925597645,-8943297215695461048,-3852,46013064,283,70,110,110,209,32
7156,1627762,7156,292770925697647,-8943297215695461048,-3852,46013363,283,70,110,110,209,32
7156,1627762,7156,292770925797649,-8943297215695461048,-3852,46013662,283,70,110,110,209,32
7156,1627762,7156,292770925897626,-8943297215695461048,-3852,46013961,283,70,110,110,209,32
7156,1627762,7156,292770925997637,3249018677487639852,-3852,46014260,362,141,181,181,288,32
7156,1627762,7156,292770926097632,-8943297215695461048,-3852,46014638,291,70,110,110,217,32
