MovementId,SPATID,CurrentState,MinTimeremaining,MaxTimeremaining,YellowState,YellowTime,PedestrianDetect,VehiclePedestrianCount,LaneSet
1974260976,1744033804,0x01,0,450,0x02,36,0,0,NULL
1974261010,1744033804,0x04,61,1008,NULL,0,0,0,NULL
1974261028,1744033804,0x04,61,722,NULL,0,0,0,NULL
1974261051,1744033804,0x40,61,1201,NULL,0,0,0,NULL
1974261071,1744033804,0x40,61,511,NULL,0,0,0,NULL
1974261092,1744033804,0x40,61,1008,NULL,0,0,0,NULL
1974261108,1744033804,0x40,61,722,NULL,0,0,0,NULL
1974261123,1744033804,0x01,0,0,NULL,0,0,0,NULL
1974261148,1744033804,0x01,61,722,NULL,0,0,0,NULL
1974261171,1744033804,0x01,61,1008,NULL,0,0,0,NULL
1974261333,1744033932,0x04,255,1201,NULL,0,0,0,NULL
1974261356,1744033932,0x04,94,583,NULL,0,0,0,NULL
1974261385,1744033932,0x01,30,158,0x02,31,0,0,NULL
1974261414,1744033932,0x04,94,222,NULL,0,0,0,NULL
1974261446,1744033932,0x40,255,994,NULL,0,0,0,NULL
1974261475,1744033932,0x40,369,1201,NULL,0,0,0,NULL
1974261496,1744033932,0x40,94,222,NULL,0,0,0,NULL
1974261513,1744033932,0x01,255,1201,NULL,0,1,0,NULL
1974261532,1744033932,0x01,255,1201,NULL,0,1,0,NULL
