RxDevice,FileId,TxDevice,GenTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence
3264,1918998,3264,292802243446143,85,16,57300,42.29748,-83.69253,232,18.76,359.4,0.03,20.01,0,0.24,10,3276.7,88
3264,1918995,3264,292725263477845,16982,20,57300,42.2979,-83.72079,236.7,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725263577919,16982,21,57400,42.2979,-83.72079,236.7,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725263677841,16982,22,57500,42.2979,-83.72079,236.7,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725263777843,16982,23,57600,42.2979,-83.72079,236.7,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725263877846,16982,24,57700,42.2979,-83.72079,236.7,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725263977846,16982,25,57800,42.2979,-83.72079,236.7,0,92.7,0.01,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264077840,16982,26,57900,42.2979,-83.72079,236.6,0.02,92.7,0.02,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264177844,16982,27,58000,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264277841,16982,28,58100,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264377842,16982,29,58200,42.2979,-83.72079,236.6,0,92.7,-0.01,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264477843,16982,30,58300,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264577848,16982,31,58400,42.2979,-83.72079,236.6,0.02,92.7,0.01,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264677850,16982,32,58500,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264777848,16982,33,58600,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264877851,16982,34,58700,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725264977843,16982,35,58800,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725265077850,16982,36,58900,42.2979,-83.72079,236.6,0,92.7,0,20.01,0,0,10,3276.7,0
3264,1918995,3264,292725265177850,16982,37,59000,42.2979,-83.72079,236.5,0,92.7,0,20.01,0,0,10,3276.7,0
