10106	247	2790	1	14	51.381943	-2.2430611	0.79166669	0	3	1	1
10106	247	4470	1	20	35.166668	3.1736069	-0.40277779	0	3	1	1
10106	247	9520	1	31	103.20834	-2.3541641	-6.3541665	0	0	1	1
10106	247	15800	1	63	10.854167	0.98214149	0.19791667	0	3	1	1
10106	247	18370	1	9	16.90625	-0.5446434	0.60416669	0	3	1	1
10106	247	20380	1	19	93.513885	-2.3333359	-0.13194445	0	0	1	1
10106	247	27540	1	31	102.80556	-5.7291718	9.9305553	0	0	1	1
10106	248	1290	1	23	94.263885	-1.3050613	-0.72222221	0	0	1	1
10106	248	1690	1	24	62.226563	-1.0605125	-0.203125	0	3	1	1
10106	248	17980	1	32	45.44643	0.17899323	-2.7053571	0	3	1	1
10106	248	24600	1	9	103.09028	-4.1388855	-0.30555555	0	0	1	1
10106	248	39340	1	10	12.28125	0.58928967	-1.2395834	0	3	1	1
10106	251	4490	1	5	53.28125	-9.1081314	0.5078125	0	0	1	1
10106	255	5870	1	26	67.263885	-21.243057	-2.5069444	0	0	1	1
10106	256	8060	1	40	24.944445	-0.44965363	0.99305558	0	3	1	1
10106	256	15160	1	33	88.597221	-1.2083359	-8.0486107	0	3	1	1
10106	256	16160	1	34	47.763889	-11.125004	-3.7569444	0	5	1	1
10106	257	5450	1	5	79.868057	10.159729	0.44444445	0	3	1	1
10106	257	9120	1	10	88.625	-5.4097214	-0.013888889	0	0	1	1
10106	257	9430	1	11	66.729164	-17.333344	0.33333334	0	3	1	1
