10106	297	1	23	23680	23570	12
10106	297	1	24	25120	24870	26
10106	316	1	14	24870	24700	18
10106	337	1	32	24440	23110	109
10106	365	1	63	71790	71700	10
10106	365	1	1	72320	71990	34
10118	711	1	52	36220	36030	20
10118	729	1	7	27560	25360	169
10118	826	1	52	19740	19460	29
10121	718	1	24	51800	51360	45
10122	403	1	38	95540	95450	10
10122	414	1	23	25470	25370	11
10122	472	1	0	42040	41910	14
10125	301	1	33	36020	35890	14
10125	349	1	44	48170	48070	11
10125	350	1	2	1430	1300	14
10125	355	1	23	12840	12350	41
10125	355	1	46	46340	46230	12
10125	355	1	45	47090	46660	44
10125	367	1	3	5930	5710	23
